#const numOfAtoms = 120.
atoms(1..120).
clauses(1..498).
neg(1,46).neg(1,3).pos(1,26).
neg(2,47).neg(2,2).pos(2,25).
neg(3,78).neg(3,36).pos(3,120).
neg(4,97).pos(4,31).pos(4,92).
pos(5,21).pos(5,76).pos(5,89).
pos(6,31).pos(6,39).pos(6,116).
neg(7,83).neg(7,81).neg(7,16).
neg(8,48).pos(8,68).pos(8,99).
neg(9,103).neg(9,102).pos(9,108).
neg(10,111).neg(10,9).neg(10,4).
neg(11,95).pos(11,19).pos(11,74).
neg(12,2).pos(12,13).pos(12,82).
neg(13,34).neg(13,10).pos(13,15).
neg(14,52).pos(14,47).pos(14,111).
neg(15,36).pos(15,6).pos(15,53).
pos(16,3).pos(16,27).pos(16,70).
neg(17,34).neg(17,17).pos(17,94).
neg(18,114).pos(18,10).pos(18,58).
pos(19,18).pos(19,62).pos(19,94).
neg(20,48).neg(20,33).pos(20,110).
neg(21,119).neg(21,49).pos(21,91).
neg(22,92).neg(22,14).pos(22,47).
neg(23,23).pos(23,40).pos(23,102).
neg(24,106).neg(24,48).pos(24,58).
neg(25,5).pos(25,8).pos(25,70).
neg(26,31).pos(26,27).pos(26,53).
neg(27,1).pos(27,27).pos(27,120).
neg(28,54).pos(28,10).pos(28,70).
neg(29,104).pos(29,33).pos(29,88).
neg(30,102).neg(30,2).pos(30,104).
neg(31,59).neg(31,52).pos(31,46).
neg(32,88).neg(32,68).pos(32,1).
neg(33,55).pos(33,89).pos(33,120).
neg(34,113).pos(34,54).pos(34,107).
neg(35,117).neg(35,111).neg(35,59).
neg(36,1).pos(36,113).pos(36,120).
neg(37,84).pos(37,32).pos(37,80).
neg(38,75).neg(38,47).pos(38,113).
neg(39,102).neg(39,89).pos(39,120).
neg(40,41).neg(40,14).pos(40,114).
pos(41,7).pos(41,23).pos(41,53).
neg(42,75).neg(42,72).pos(42,8).
pos(43,26).pos(43,48).pos(43,118).
neg(44,69).pos(44,40).pos(44,90).
neg(45,62).pos(45,93).pos(45,109).
neg(46,116).neg(46,52).pos(46,94).
neg(47,53).neg(47,34).pos(47,18).
neg(48,69).pos(48,5).pos(48,37).
neg(49,106).neg(49,47).pos(49,112).
neg(50,60).neg(50,44).pos(50,59).
neg(51,79).neg(51,60).pos(51,49).
neg(52,13).pos(52,27).pos(52,44).
neg(53,71).pos(53,55).pos(53,62).
neg(54,112).pos(54,2).pos(54,101).
neg(55,85).neg(55,64).pos(55,107).
neg(56,60).pos(56,103).pos(56,110).
neg(57,62).pos(57,32).pos(57,33).
neg(58,100).neg(58,50).pos(58,84).
