#const numOfAtoms = 120.
atoms(1..120).
clauses(1..504).
neg(1,109).neg(1,37).pos(1,20).
neg(2,31).pos(2,27).pos(2,42).
neg(3,91).neg(3,29).neg(3,22).
pos(4,36).pos(4,61).pos(4,78).
neg(5,68).neg(5,8).pos(5,72).
neg(6,72).neg(6,65).pos(6,47).
neg(7,71).neg(7,59).neg(7,2).
pos(8,24).pos(8,72).pos(8,87).
neg(9,12).pos(9,22).pos(9,25).
neg(10,69).neg(10,35).pos(10,1).
pos(11,38).pos(11,73).pos(11,80).
neg(12,97).pos(12,71).pos(12,77).
neg(13,52).neg(13,50).pos(13,67).
neg(14,89).neg(14,41).neg(14,21).
neg(15,77).neg(15,29).pos(15,62).
neg(16,57).neg(16,52).pos(16,61).
neg(17,55).neg(17,37).pos(17,108).
neg(18,62).neg(18,15).pos(18,52).
neg(19,112).neg(19,26).pos(19,107).
neg(20,85).neg(20,13).pos(20,98).
neg(21,88).neg(21,25).pos(21,76).
neg(22,47).neg(22,32).pos(22,43).
neg(23,115).pos(23,100).pos(23,110).
pos(24,37).pos(24,49).pos(24,84).
neg(25,51).neg(25,39).pos(25,22).
neg(26,97).pos(26,44).pos(26,74).
neg(27,117).pos(27,46).pos(27,53).
neg(28,108).pos(28,56).pos(28,61).
neg(29,112).neg(29,89).neg(29,60).
neg(30,15).pos(30,20).pos(30,87).
neg(31,45).neg(31,36).pos(31,104).
neg(32,91).neg(32,40).pos(32,62).
neg(33,85).neg(33,6).pos(33,35).
neg(34,53).neg(34,28).pos(34,35).
neg(35,21).pos(35,60).pos(35,93).
neg(36,36).pos(36,9).pos(36,15).
neg(37,92).neg(37,47).neg(37,6).
neg(38,106).neg(38,104).pos(38,82).
neg(39,75).neg(39,71).neg(39,68).
neg(40,117).neg(40,104).pos(40,71).
neg(41,81).pos(41,4).pos(41,52).
neg(42,49).pos(42,89).pos(42,114).
neg(43,90).neg(43,38).neg(43,17).
neg(44,112).neg(44,59).neg(44,38).
neg(45,80).neg(45,45).neg(45,34).
neg(46,88).neg(46,25).pos(46,85).
neg(47,55).pos(47,77).pos(47,100).
neg(48,2).pos(48,12).pos(48,109).
neg(49,92).pos(49,47).pos(49,94).
neg(50,115).neg(50,64).neg(50,50).
neg(51,94).neg(51,61).neg(51,15).
neg(52,89).pos(52,14).pos(52,91).
pos(53,49).pos(53,62).pos(53,72).
neg(54,21).pos(54,30).pos(54,95).
neg(55,116).neg(55,37).pos(55,34).
neg(56,119).neg(56,77).pos(56,33).
neg(57,67).neg(57,5).pos(57,15).
pos(58,24).pos(58,33).pos(58,43).
neg(59,111).neg(59,108).neg(59,75).
neg(60,108).neg(60,97).pos(60,117).
pos(61,58).pos(61,85).pos(61,106).
neg(62,75).pos(62,38).pos(62,96).
neg(63,49).neg(63,23).pos(63,12).
neg(64,46).pos(64,10).pos(64,93).
neg(65,8).pos(65,33).pos(65,39).
neg(66,65).pos(66,91).pos(66,96).
neg(67,19).pos(67,2).pos(67,115).
neg(68,96).neg(68,50).neg(68,30).
neg(69,91).neg(69,76).neg(69,33).
neg(70,28).pos(70,57).pos(70,93).
neg(71,105).neg(71,41).neg(71,22).
neg(72,100).neg(72,69).pos(72,74).
neg(73,93).neg(73,23).pos(73,57).
pos(74,45).pos(74,56).pos(74,119).
neg(75,77).pos(75,84).pos(75,119).
neg(76,59).neg(76,33).pos(76,1).
neg(77,113).pos(77,68).pos(77,107).
neg(78,116).pos(78,56).pos(78,78).
neg(79,88).pos(79,54).pos(79,72).
neg(80,68).neg(80,11).pos(80,115).
neg(81,36).pos(81,29).pos(81,76).
neg(82,89).neg(82,28).pos(82,107).
neg(83,99).neg(83,20).pos(83,26).
neg(84,97).neg(84,67).pos(84,28).
neg(85,109).neg(85,77).pos(85,91).
pos(86,32).pos(86,72).pos(86,111).
neg(87,80).pos(87,27).pos(87,119).
neg(88,59).pos(88,72).pos(88,93).
neg(89,31).neg(89,23).pos(89,79).
neg(90,107).neg(90,79).neg(90,57).
neg(91,84).pos(91,24).pos(91,105).
neg(92,119).pos(92,23).pos(92,102).
neg(93,77).neg(93,1).pos(93,35).
neg(94,67).neg(94,66).neg(94,9).
neg(95,98).neg(95,93).pos(95,34).
neg(96,91).neg(96,86).pos(96,55).
neg(97,68).neg(97,57).pos(97,104).
neg(98,53).neg(98,44).neg(98,3).
neg(99,27).pos(99,4).pos(99,8).
neg(100,50).neg(100,37).neg(100,23).
pos(101,35).pos(101,109).pos(101,113).
neg(102,111).pos(102,41).pos(102,106).
pos(103,13).pos(103,31).pos(103,110).
neg(104,64).neg(104,40).pos(104,72).
neg(105,110).neg(105,16).pos(105,57).
neg(106,97).neg(106,57).pos(106,34).
neg(107,19).pos(107,6).pos(107,34).
neg(108,77).neg(108,34).pos(108,72).
neg(109,99).neg(109,51).pos(109,72).
neg(110,116).neg(110,114).pos(110,113).
neg(111,75).pos(111,47).pos(111,100).
neg(112,81).neg(112,38).neg(112,14).
neg(113,111).neg(113,94).neg(113,73).
neg(114,58).neg(114,14).pos(114,94).
neg(115,63).neg(115,32).pos(115,53).
neg(116,85).pos(116,53).pos(116,114).
neg(117,39).neg(117,15).pos(117,29).
pos(118,52).pos(118,72).pos(118,119).
pos(119,19).pos(119,79).pos(119,83).
neg(120,89).neg(120,10).pos(120,3).
neg(121,119).neg(121,81).pos(121,5).
neg(122,68).pos(122,23).pos(122,53).
neg(123,33).pos(123,2).pos(123,70).
neg(124,119).neg(124,1).pos(124,117).
neg(125,69).neg(125,40).pos(125,66).
neg(126,10).pos(126,16).pos(126,102).
